SHOP_WEEK,SHOP_DATE,SHOP_WEEKDAY,SHOP_HOUR,QUANTITY,SPEND,PROD_CODE,PROD_CODE_10,PROD_CODE_20,PROD_CODE_30,PROD_CODE_40,CUST_CODE,CUST_PRICE_SENSITIVITY,CUST_LIFESTAGE,BASKET_ID,BASKET_SIZE,BASKET_PRICE_SENSITIVITY,BASKET_TYPE,BASKET_DOMINANT_MISSION,STORE_CODE,STORE_FORMAT,STORE_REGION
200732,20071005,6,17,3,6.75,PRD0900001,CL00072,DEP00021,G00007,D00002,CUST0000583261,UM,YF,994107800547472,L,MM,Top Up,Grocery,STORE00001,LS,E02
200733,20071010,4,20,3,6.75,PRD0900001,CL00072,DEP00021,G00007,D00002,CUST0000537317,MM,OF,994107900512001,L,MM,Full Shop,Fresh,STORE00001,LS,E02
200741,20071209,1,11,1,2.25,PRD0900001,CL00072,DEP00021,G00007,D00002,CUST0000472158,MM,YF,994108700468327,L,MM,Full Shop,Grocery,STORE00001,LS,E02
200731,20070929,7,17,1,2.25,PRD0900001,CL00072,DEP00021,G00007,D00002,CUST0000099658,LA,OF,994107700237811,L,LA,Full Shop,Mixed,STORE00001,LS,E02
200737,20071110,7,14,3,6.75,PRD0900001,CL00072,DEP00021,G00007,D00002,,,,994108300002212,L,MM,Full Shop,Fresh,STORE00001,LS,E02
200731,20070929,7,18,1,2.25,PRD0900001,CL00072,DEP00021,G00007,D00002,CUST0000099658,LA,OF,994107700237810,L,MM,Full Shop,Fresh,STORE00001,LS,E02
200732,20071004,5,21,3,6.75,PRD0900001,CL00072,DEP00021,G00007,D00002,CUST0000128681,UM,YF,994107800252439,M,UM,Small Shop,Fresh,STORE00001,LS,E02
200738,20071116,6,18,3,6.75,PRD0900001,CL00072,DEP00021,G00007,D00002,CUST0000961918,MM,OT,994108400798165,L,UM,Top Up,Fresh,STORE00001,LS,E02
200738,20071115,5,15,3,6.75,PRD0900001,CL00072,DEP00021,G00007,D00002,CUST0000961918,MM,OT,994108400798164,L,MM,Full Shop,Fresh,STORE00001,LS,E02
200732,20071003,4,21,3,6.75,PRD0900001,CL00072,DEP00021,G00007,D00002,CUST0000704959,UM,OT,994107800627353,L,UM,Full Shop,Fresh,STORE00001,LS,E02
200732,20071007,1,21,3,6.75,PRD0900001,CL00072,DEP00021,G00007,D00002,CUST0000135397,MM,OF,994107800256773,L,MM,Top Up,Mixed,STORE00001,LS,E02
200731,20070928,6,21,3,6.75,PRD0900001,CL00072,DEP00021,G00007,D00002,,,,994107700039395,L,LA,Top Up,Fresh,STORE00001,LS,E02
