SHOP_WEEK,SHOP_DATE,SHOP_WEEKDAY,SHOP_HOUR,QUANTITY,SPEND,PROD_CODE,PROD_CODE_10,PROD_CODE_20,PROD_CODE_30,PROD_CODE_40,CUST_CODE,CUST_PRICE_SENSITIVITY,CUST_LIFESTAGE,BASKET_ID,BASKET_SIZE,BASKET_PRICE_SENSITIVITY,BASKET_TYPE,BASKET_DOMINANT_MISSION,STORE_CODE,STORE_FORMAT,STORE_REGION
200732,20071005,6,17,3,6.75,PRD0900001,CL00072,DEP00021,G00007,D00002,CUST0000583261,UM,YF,9.94108E+14,L,MM,Top Up,Grocery,STORE00001,LS,E02
200733,20071010,4,20,3,6.75,PRD0900001,CL00072,DEP00021,G00007,D00002,CUST0000537317,MM,OF,9.94108E+14,L,MM,Full Shop,Fresh,STORE00001,LS,E02
200741,20071209,1,11,1,2.25,PRD0900001,CL00072,DEP00021,G00007,D00002,CUST0000472158,MM,YF,9.94109E+14,L,MM,Full Shop,Grocery,STORE00001,LS,E02
200731,20070929,7,17,1,2.25,PRD0900001,CL00072,DEP00021,G00007,D00002,CUST0000099658,LA,OF,9.94108E+14,L,LA,Full Shop,Mixed,STORE00001,LS,E02
200737,20071110,7,14,3,6.75,PRD0900001,CL00072,DEP00021,G00007,D00002,,,,9.94108E+14,L,MM,Full Shop,Fresh,STORE00001,LS,E02
200731,20070929,7,18,1,2.25,PRD0900001,CL00072,DEP00021,G00007,D00002,CUST0000099658,LA,OF,9.94108E+14,L,MM,Full Shop,Fresh,STORE00001,LS,E02
200732,20071004,5,21,3,6.75,PRD0900001,CL00072,DEP00021,G00007,D00002,CUST0000128681,UM,YF,9.94108E+14,M,UM,Small Shop,Fresh,STORE00001,LS,E02
200738,20071116,6,18,3,6.75,PRD0900001,CL00072,DEP00021,G00007,D00002,CUST0000961918,MM,OT,9.94108E+14,L,UM,Top Up,Fresh,STORE00001,LS,E02
200738,20071115,5,15,3,6.75,PRD0900001,CL00072,DEP00021,G00007,D00002,CUST0000961918,MM,OT,9.94108E+14,L,MM,Full Shop,Fresh,STORE00001,LS,E02
200732,20071003,4,21,3,6.75,PRD0900001,CL00072,DEP00021,G00007,D00002,CUST0000704959,UM,OT,9.94108E+14,L,UM,Full Shop,Fresh,STORE00001,LS,E02
200732,20071007,1,21,3,6.75,PRD0900001,CL00072,DEP00021,G00007,D00002,CUST0000135397,MM,OF,9.94108E+14,L,MM,Top Up,Mixed,STORE00001,LS,E02
200731,20070928,6,21,3,6.75,PRD0900001,CL00072,DEP00021,G00007,D00002,,,,9.94108E+14,L,LA,Top Up,Fresh,STORE00001,LS,E02
200730,20070920,5,15,3,6.75,PRD0900001,CL00072,DEP00021,G00007,D00002,CUST0000372422,UM,YF,9.94108E+14,L,UM,Top Up,Fresh,STORE00001,LS,E02
200733,20071011,5,21,1,2.25,PRD0900001,CL00072,DEP00021,G00007,D00002,CUST0000871730,UM,,9.94108E+14,M,MM,Small Shop,Fresh,STORE00001,LS,E02
200732,20071002,3,13,1,2.25,PRD0900001,CL00072,DEP00021,G00007,D00002,CUST0000661427,MM,OT,9.94108E+14,M,LA,Top Up,Fresh,STORE00001,LS,E02
200732,20071001,2,12,3,6.75,PRD0900001,CL00072,DEP00021,G00007,D00002,CUST0000576800,MM,OA,9.94108E+14,L,MM,Top Up,Fresh,STORE00001,LS,E02
200732,20071001,2,15,3,6.75,PRD0900001,CL00072,DEP00021,G00007,D00002,CUST0000161411,MM,PE,9.94108E+14,L,MM,Full Shop,Fresh,STORE00001,LS,E02
200732,20071006,7,13,1,2.25,PRD0900001,CL00072,DEP00021,G00007,D00002,CUST0000402352,UM,YA,9.94108E+14,M,MM,Top Up,Grocery,STORE00001,LS,E02
200731,20070925,3,19,3,6.75,PRD0900001,CL00072,DEP00021,G00007,D00002,CUST0000985195,LA,OA,9.94108E+14,L,LA,Full Shop,Fresh,STORE00001,LS,E02
200732,20071002,3,13,3,6.75,PRD0900001,CL00072,DEP00021,G00007,D00002,CUST0000540040,MM,YA,9.94108E+14,L,MM,Top Up,Mixed,STORE00001,LS,E02
200737,20071107,4,20,1,2.25,PRD0900001,CL00072,DEP00021,G00007,D00002,CUST0000836210,UM,YF,9.94108E+14,L,MM,Top Up,Fresh,STORE00001,LS,E02
200733,20071011,5,14,1,2.25,PRD0900001,CL00072,DEP00021,G00007,D00002,,,,9.94108E+14,L,MM,Full Shop,Mixed,STORE00001,LS,E02
200740,20071128,4,13,1,2.25,PRD0900001,CL00072,DEP00021,G00007,D00002,CUST0000280656,MM,OT,9.94109E+14,M,MM,Small Shop,Fresh,STORE00001,LS,E02
200740,20071201,7,14,3,6.75,PRD0900001,CL00072,DEP00021,G00007,D00002,CUST0000403088,LA,YF,9.94109E+14,L,LA,Full Shop,Mixed,STORE00001,LS,E02
200731,20070929,7,20,3,6.75,PRD0900001,CL00072,DEP00021,G00007,D00002,CUST0000200987,UM,,9.94108E+14,L,MM,Top Up,Fresh,STORE00001,LS,E02
200732,20071002,3,14,3,6.75,PRD0900001,CL00072,DEP00021,G00007,D00002,CUST0000167190,LA,OA,9.94108E+14,L,MM,Full Shop,Fresh,STORE00001,LS,E02
200730,20070918,3,12,3,6.75,PRD0900001,CL00072,DEP00021,G00007,D00002,CUST0000107193,LA,PE,9.94108E+14,L,MM,Top Up,Mixed,STORE00001,LS,E02
200732,20071006,7,15,3,6.75,PRD0900001,CL00072,DEP00021,G00007,D00002,,,,9.94108E+14,L,LA,Top Up,Fresh,STORE00001,LS,E02
200729,20070915,7,13,1,2.25,PRD0900001,CL00072,DEP00021,G00007,D00002,CUST0000836210,UM,YF,9.94108E+14,L,UM,Top Up,Fresh,STORE00001,LS,E02
200740,20071128,4,20,3,6.75,PRD0900001,CL00072,DEP00021,G00007,D00002,,,,9.94109E+14,L,MM,Top Up,Mixed,STORE00001,LS,E02
200733,20071008,2,16,3,6.75,PRD0900001,CL00072,DEP00021,G00007,D00002,CUST0000127841,MM,,9.94108E+14,L,MM,Top Up,Fresh,STORE00001,LS,E02
200741,20071204,3,14,3,6.75,PRD0900001,CL00072,DEP00021,G00007,D00002,CUST0000845375,MM,OT,9.94109E+14,M,UM,Small Shop,Fresh,STORE00001,LS,E02
200738,20071115,5,15,3,6.75,PRD0900001,CL00072,DEP00021,G00007,D00002,CUST0000254358,MM,,9.94108E+14,L,UM,Top Up,Fresh,STORE00001,LS,E02
200732,20071001,2,20,3,6.75,PRD0900001,CL00072,DEP00021,G00007,D00002,CUST0000506810,LA,OF,9.94108E+14,L,LA,Full Shop,Mixed,STORE00001,LS,E02
200733,20071008,2,11,3,6.75,PRD0900001,CL00072,DEP00021,G00007,D00002,CUST0000845375,MM,OT,9.94108E+14,M,UM,Small Shop,Fresh,STORE00001,LS,E02
200743,20071221,6,16,1,1.52,PRD0900002,CL00075,DEP00022,G00007,D00002,CUST0000851524,MM,OT,9.94109E+14,M,MM,Top Up,Grocery,STORE00001,LS,E02
200743,20071220,5,16,1,1.52,PRD0900002,CL00075,DEP00022,G00007,D00002,CUST0000398965,UM,OA,9.94109E+14,L,LA,Full Shop,Fresh,STORE00001,LS,E02
200743,20071221,6,13,3,4.56,PRD0900002,CL00075,DEP00022,G00007,D00002,CUST0000094339,UM,YA,9.94109E+14,L,MM,Full Shop,Fresh,STORE00001,LS,E02
200719,20070708,1,19,1,1.52,PRD0900002,CL00075,DEP00022,G00007,D00002,,,,9.94107E+14,L,MM,Full Shop,Grocery,STORE00001,LS,E02
200740,20071129,5,21,1,1.52,PRD0900002,CL00075,DEP00022,G00007,D00002,CUST0000099658,LA,OF,9.94109E+14,M,MM,Small Shop,Fresh,STORE00001,LS,E02
200729,20070912,4,11,1,1.52,PRD0900002,CL00075,DEP00022,G00007,D00002,CUST0000549670,LA,YF,9.94108E+14,L,MM,Top Up,Fresh,STORE00001,LS,E02
200734,20071017,4,17,1,1.52,PRD0900002,CL00075,DEP00022,G00007,D00002,,,,9.94108E+14,L,UM,Top Up,Grocery,STORE00001,LS,E02
200725,20070818,7,14,1,1.52,PRD0900002,CL00075,DEP00022,G00007,D00002,,,,9.94107E+14,L,UM,Top Up,Fresh,STORE00001,LS,E02
200737,20071108,5,21,1,1.52,PRD0900002,CL00075,DEP00022,G00007,D00002,CUST0000147574,MM,YA,9.94108E+14,L,MM,Full Shop,Fresh,STORE00001,LS,E02
200645,20070101,2,20,3,4.56,PRD0900002,CL00075,DEP00022,G00007,D00002,CUST0000192207,MM,YF,9.94104E+14,L,UM,Top Up,Fresh,STORE00001,LS,E02
200713,20070522,3,17,1,1.52,PRD0900002,CL00075,DEP00022,G00007,D00002,CUST0000788454,MM,YF,9.94106E+14,L,MM,Full Shop,Fresh,STORE00001,LS,E02
